Date/Time Opened,Date/Time Closed,Case Last Modified Date,Status,Survey Request DateTime,Date site was turned over from BD to Ops,Resurvey Request Date,Actual Survey Date,On-site consultation actual date,Survey Uploaded DateTime,Survey Review outcome,Portal Review Date,Install Guide Creation Date,IG: Latest IG revision date,Hub Approval Sent Date,Approval: Form Sent Date,Approval: Received Date,Approval: Rejection Date,Date Trouble Ticket Created,Promised Date,Asset Load date,Failed Install Date,Gen 3 Approval Date,Installation Date,Provisioned Date,Activation Date,Removal Date,Scheduled Decommission date/time,Case Hold Date,Case Off Hold Date,CaseHold,Country Code,Site Survey Vendor/Supplier,Installation Vendor/Supplier,LayoutArrangement,Account Record Type,Case Record Type,#,Survey Cycle Time(Days),IG: Cycle time (days),Approval Cycle Time(Days),Install Cycle Time(Days),Overall Cycle Time,Provisioned with Installation,Installation Request Email Date Time
7/14/23 7:52,,7/15/23,Wait for consultation,7/15/23 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,IT,IT - Ricoh,IT - Ricoh,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
10/21/19 3:53,10/13/21 9:45,7/18/23,Activated,8/8/19 1:34,,,,,7/22/20 10:03,Approved,,,,,,,,8/23/21,,,,,10/12/21,,10/13/21 9:45,,,,,0,IT,IT - LAB68,IT - LAB68,ASA,Location Locker/Counter,Locker Onboarding,1,,,,,797.34,1,
4/18/23 1:30,6/9/23 3:38,6/29/23,Activated,4/18/23 18:00,,,,,5/24/23 3:30,Approved,,,,,,,,5/25/23,,,,,6/9/23,,6/9/23 3:38,,,,,0,ES,ES - Self survey,ES - Ricoh,M,Location Locker/Counter,Odin Onboarding EU,1,,,,,51.4,0,5/26/23 0:01
1/20/21 0:22,5/19/21 13:05,5/30/23,Activated,1/20/21 1:02,,,,,4/8/21 22:44,Approved,,,,,,,,4/9/21,,,,,5/6/21,5/3/21,5/19/21 13:05,,,,,0,DE,DE - Tokheim,DE - Tokheim,AS,Location Locker/Counter,Locker Onboarding,1,,,,,119.46,0,4/9/21 1:02
1/21/21 5:44,5/28/21 8:33,7/5/23,Activated,1/22/21 1:01,,,,,2/16/21 2:51,Approved,,,,,,,,5/13/21,,,,,5/27/21,,5/27/21 16:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,MM,Location Locker/Counter,Locker Onboarding,1,,,,,125.58,0,
3/14/22 14:25,3/19/22 3:25,5/11/23,Activated,,,,,,3/14/22 14:45,,,,,,,,,3/15/22,,,,,3/17/22,3/21/22,3/19/22 3:25,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Dobby Onboarding EU,1,,,,,,0,3/15/22 2:00
2/13/22 23:12,5/5/22 19:23,5/30/23,Activated,2/14/22 5:00,,,2/23/22 5:00,,2/24/22 0:00,,,,,,,,,3/9/22,,4/12/22,,,5/4/22,5/4/22,10/18/22 18:06,5/4/22,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),AS,Location Locker/Counter,Locker Onboarding,1,9,0,,22,246.5,1,3/9/22 1:00
3/28/22 21:47,5/16/22 7:29,6/7/23,Closed,3/17/21 22:00,,,4/5/21 12:00,4/5/21,4/25/22 16:03,Approved,4/14/21,,4/6/21,,4/23/21,,,,,,,,,,,,,,,0,US,US - NSA,US - NSA,MMM,Location Locker/Counter NA,Locker Onboarding NA,1,18.58,-384,,,,0,
3/28/22 23:24,4/28/22 20:24,6/7/23,Closed,12/7/21 22:00,,,12/23/21 22:00,,1/7/22 0:00,Approved,1/11/22,,12/28/21,,1/10/22,,,,,,,,,,,,,,,0,US,US - NSA,US - NSA,M,Location Locker/Counter NA,Locker Onboarding NA,1,16,-10,,,,0,
6/14/22 4:35,8/18/22 6:53,5/30/23,Closed,6/15/22 1:06,,,,,7/4/22 5:24,Approved,,,,,,5/31/23,,8/2/22,,,,,8/19/22,8/18/22,8/18/22 6:54,,3/29/23 15:00,3/10/23,3/10/23,0,DE,DE - BEM,DE - BEM,M,Location Locker/Counter,Locker Onboarding,1,,,,,64.24,0,8/2/22 1:00
